"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg P&L %: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg winning trade %: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Avg losing trade %: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","_setTime_","_parseTime_","_duration_","comment","__ATR Length","__Supertrend Factor","__ATR Buffer Multiplier","__Fixed Hard Stop Distance (points)","__Use UTC Time (off=Exchange Time)","__Inputs in status line"
4896.5,0.48,21497,2.15,15697.5,1.57,5799.5,0.58,31607,3.16,20578,2.06,11029,1.1,10110,1.01,4880.5,0.49,5229.5,0.52,0,0,0,186804.39,18.68,27801.5,2.71,2537.5,0.25,1,1,1,42,22,20,1,1,0,12,7,5,30,15,15,28.57,31.82,25,511.83,0.5,713.52,0.73,289.98,0.26,2633.92,2.57,2939.71,2.94,2205.8,2.04,337,0.32,325.37,0.31,348.63,0.34,7.816,9.035,6.327,6591.5,6591.5,4811,6.33,6.33,4.43,600.5,517,600.5,0.62,0.5,0.62,62,65,59,144,131,163,29,34,24,0.203,1.029,3.126,4.216,2.109,0,0,0,0,3.4,0,"Current parameters.",16,6.8,1.5,398,true,true
4693,0.46,18535.5,1.85,15500.5,1.55,3035,0.3,33725,3.37,22625.5,2.26,11099.5,1.11,15189.5,1.52,7125,0.71,8064.5,0.81,0,0,0,186814.84,18.68,24635.5,2.41,3656,0.36,1,1,1,48,24,24,1,1,0,13,8,5,35,16,19,27.08,33.33,20.83,386.16,0.38,645.85,0.66,126.46,0.11,2594.23,2.53,2828.19,2.82,2219.9,2.06,433.99,0.41,445.31,0.42,424.45,0.41,5.978,6.351,5.23,6591.5,6591.5,4811,6.33,6.33,4.43,836.5,646,836.5,0.81,0.6,0.81,66,78,54,144,141,148,37,46,30,0.172,0.677,2.22,3.176,1.376,0,0,0,1,4,5,"Changed ""ATR Buffer Multiplier"": 1.5 => 2.",16,6.8,2,398,true,true
5209.5,0.51,13814,1.38,9465.5,0.95,4348.5,0.43,36474,3.65,21060.5,2.11,15413.5,1.54,22660,2.27,11595,1.16,11065,1.11,0,0,0,189452,18.95,20257,1.99,6279,0.62,1,1,1,54,28,26,1,1,0,17,9,8,37,19,18,31.48,32.14,30.77,255.81,0.26,338.05,0.36,167.25,0.15,2145.53,2.08,2340.06,2.33,1926.69,1.8,612.43,0.58,610.26,0.57,614.72,0.59,3.503,3.835,3.134,6340.5,6340.5,4811,6.3,6.3,4.43,1315.5,1315.5,1099.5,1.25,1.25,1.06,82,89,74,176,173,180,38,49,27,0.133,0.368,1.61,1.816,1.393,0,0,0,0.6,3.4,4,"Changed ""ATR Buffer Multiplier"": 2 => 3.",16,6.8,3,398,true,true
2772,0.27,18732,1.87,14982,1.5,3750,0.38,46217.5,4.62,29402,2.94,16815.5,1.68,27485.5,2.75,14420,1.44,13065.5,1.31,0,0,0,190599.24,19.06,22829.5,2.23,7528,0.75,1,1,1,58,32,26,1,1,0,20,11,9,38,21,17,34.48,34.38,34.62,322.97,0.32,468.19,0.48,144.23,0.12,2310.88,2.24,2672.91,2.63,1868.39,1.75,723.3,0.69,686.67,0.65,768.56,0.74,3.195,3.893,2.431,6340.5,6340.5,4811,6.3,6.3,4.43,1610.5,1610.5,1306,1.53,1.53,1.25,93,95,92,181,182,180,47,49,45,0.147,0.356,1.682,2.039,1.287,0,0,0,0.5,3.4,4,"Changed ""ATR Buffer Multiplier"": 3 => 4.",16,6.8,4,398,true,true
2900.5,0.29,-10202,-1.02,-323,-0.03,-9879,-0.99,30321,3.03,17554.5,1.76,12766.5,1.28,40523,4.05,17877.5,1.79,22645.5,2.26,0,0,0,191899.26,19.19,8030.5,0.8,17107,1.7,1,1,1,108,51,57,1,1,0,23,14,9,85,37,48,21.3,27.45,15.79,-94.46,-0.09,-6.33,0.01,-173.32,-0.17,1318.3,1.27,1253.89,1.22,1418.5,1.35,476.74,0.45,483.18,0.45,471.78,0.45,2.765,2.595,3.007,3748.5,3276.5,3748.5,3.48,3.3,3.48,1727,1727,1275,1.56,1.56,1.18,42,43,40,109,100,122,24,22,25,-0.134,-0.191,0.748,0.982,0.564,0,0,0,11.6,45.5,57.1,"Changed all parameters randomly.",18,4.3,2,400,true,true
5331,0.53,13699,1.37,9534,0.95,4165,0.42,38274,3.83,21906.5,2.19,16367.5,1.64,24575,2.46,12372.5,1.24,12202.5,1.22,0,0,0,190143.26,19.01,20238.5,1.99,6366.5,0.63,1,1,1,54,27,27,1,1,0,15,7,8,39,20,19,27.78,25.93,29.63,253.69,0.26,353.11,0.37,154.26,0.14,2551.6,2.48,3129.5,3.1,2045.94,1.93,630.13,0.6,618.63,0.58,642.24,0.62,4.049,5.059,3.186,6423.5,6423.5,4811,6.66,6.66,4.43,1576.5,1576.5,1388.5,1.49,1.49,1.32,76,77,74,178,167,187,36,46,27,0.126,0.356,1.557,1.771,1.341,0,0,0,44.9,3.5,48.5,"Changed all parameters randomly.",16,7.1,3,400,true,true
2945,0.3,-11447.5,-1.14,-2937.5,-0.29,-8510,-0.85,23194,2.32,12324,1.23,10870,1.09,34641.5,3.46,15261.5,1.53,19380,1.94,0,0,0,192366.2,19.24,6313,0.64,17044,1.7,1,1,1,97,46,51,1,1,0,23,13,10,74,33,41,23.71,28.26,19.61,-118.02,-0.11,-63.86,-0.05,-166.86,-0.16,1008.43,0.97,948,0.91,1087,1.05,468.13,0.44,462.47,0.44,472.68,0.45,2.154,2.05,2.3,3235.5,3235.5,2144.5,3.26,3.26,2.23,1542.5,1542.5,1152,1.39,1.39,1.06,42,44,40,108,97,124,21,24,20,-0.174,-0.239,0.67,0.808,0.561,0,0,0,1.4,3.4,4.8,"Changed all parameters randomly.",16,4.7,2,398,true,true
2313.5,0.24,-25331.5,-2.53,-6329,-0.63,-19002.5,-1.9,36761.5,3.68,21546.5,2.15,15215,1.52,62093,6.21,27875.5,2.79,34217.5,3.42,0,0,0,199435.28,19.94,8465.5,0.86,32267.5,3.21,1,1,1,101,49,52,1,1,0,30,17,13,71,32,39,29.7,34.69,25,-250.81,-0.23,-129.16,-0.11,-365.43,-0.35,1225.38,1.19,1267.44,1.24,1170.38,1.11,874.55,0.83,871.11,0.82,877.37,0.84,1.401,1.455,1.334,4635.5,4635.5,3746.5,4.74,4.74,3.48,3154.5,1857.5,3154.5,2.96,1.73,2.96,66,68,64,121,109,135,43,46,40,-0.227,-0.276,0.592,0.773,0.445,0,0,0,1.6,3.7,5.3,"Changed ""ATR Buffer Multiplier"": 2 => 5.",16,4.7,5,398,true,true
2305,0.24,-26969,-2.7,-6942,-0.69,-20027,-2,37707,3.77,21775,2.18,15932,1.59,64676,6.47,28717,2.87,35959,3.6,0,0,0,198858.35,19.89,8729,0.89,32201.5,3.21,1,1,1,103,50,53,1,1,0,29,16,13,74,34,40,28.16,32,24.53,-261.83,-0.24,-138.84,-0.11,-377.87,-0.36,1300.24,1.26,1360.94,1.33,1225.54,1.16,874,0.83,844.62,0.8,898.98,0.86,1.488,1.611,1.363,4635.5,4635.5,3746.5,4.74,4.74,3.48,3154.5,1857.5,3154.5,2.96,1.73,2.96,65,66,63,119,106,136,43,48,39,-0.24,-0.29,0.583,0.758,0.443,0,0,0,0.6,3.4,4,"Changed ""ATR Length"": 16 => 18.",18,4.7,5,398,true,true
2305,0.24,-21286.5,-2.13,-4562.5,-0.46,-16724,-1.67,36551.5,3.66,20847,2.08,15704.5,1.57,57838,5.78,25409.5,2.54,32428.5,3.24,0,0,0,198940.59,19.89,9257.5,0.94,30347.5,3.02,1,1,1,98,47,51,1,1,0,31,17,14,67,30,37,31.63,36.17,27.45,-217.21,-0.2,-97.07,-0.08,-327.92,-0.32,1179.08,1.14,1226.29,1.2,1121.75,1.07,863.25,0.82,846.98,0.8,876.45,0.84,1.366,1.448,1.28,4635.5,4635.5,3746.5,4.74,4.74,3.48,3154.5,1857.5,3154.5,2.96,1.73,2.96,68,69,67,117,109,127,45,46,44,-0.197,-0.245,0.632,0.82,0.484,0,0,0,0.9,3.5,4.4,"Changed ""ATR Length"": 18 => 14.",14,4.7,5,398,true,true
