PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"10, 10, 105","−2,765.00 USD",−0.28%,"3,538.50 USD",0.35%,24,29.17%,0.512,0,,0
"10, 10, 115","−2,536.50 USD",−0.25%,"3,527.00 USD",0.35%,25,32.00%,0.714,0,,0
"10, 10, 125","−3,196.00 USD",−0.32%,"3,753.50 USD",0.38%,20,25.00%,0.234,0,,0
"10, 10, 135","−2,993.00 USD",−0.30%,"3,929.50 USD",0.39%,21,14.29%,0.211,0,,0
"10, 10, 145","−1,545.50 USD",−0.15%,"2,898.00 USD",0.29%,24,16.67%,0.538,0,,0
"10, 10, 25",−98.50 USD,−0.01%,"1,832.00 USD",0.18%,11,45.45%,0.723,0,,0
"10, 10, 35",+373.50 USD,+0.04%,903.50 USD,0.09%,15,33.33%,1.601,0,,0
"10, 10, 45",−220.50 USD,−0.02%,989.00 USD,0.10%,16,37.50%,1.67,0,,0
"10, 10, 55",−652.50 USD,−0.07%,"1,405.00 USD",0.14%,17,41.18%,1.482,0,,0
"10, 10, 65","−1,100.00 USD",−0.11%,"2,063.00 USD",0.21%,18,38.89%,1.293,0,,0
"10, 10, 75",−942.00 USD,−0.09%,"2,110.00 USD",0.21%,19,36.84%,1.099,0,,0
"10, 10, 85",−944.50 USD,−0.09%,"2,458.50 USD",0.25%,22,36.36%,1.071,0,,0
"10, 10, 95","−2,745.00 USD",−0.27%,"3,164.50 USD",0.32%,24,29.17%,0.277,0,,0
"10, 10.5, 105","−1,597.00 USD",−0.16%,"2,001.50 USD",0.20%,27,18.52%,0.228,0,,0
"10, 10.5, 115","−1,792.50 USD",−0.18%,"2,197.00 USD",0.22%,28,17.86%,0.208,0,,0
"10, 10.5, 125","−1,569.00 USD",−0.16%,"1,973.50 USD",0.20%,24,12.50%,0.235,0,,0
"10, 10.5, 135","−1,648.00 USD",−0.16%,"2,052.50 USD",0.21%,24,12.50%,0.226,0,,0
"10, 10.5, 145","−1,801.00 USD",−0.18%,"2,205.50 USD",0.22%,24,8.33%,0.204,0,,0
"10, 10.5, 25",−505.50 USD,−0.05%,862.00 USD,0.09%,11,45.45%,0.277,0,,0
"10, 10.5, 35","−9,382.00 USD",−0.94%,"10,054.00 USD",1.01%,14,35.71%,0.025,0,,0
"10, 10.5, 45",−556.50 USD,−0.06%,946.50 USD,0.09%,16,37.50%,0.319,0,,0
"10, 10.5, 55",−853.50 USD,−0.09%,"1,150.00 USD",0.12%,18,33.33%,0.221,0,,0
"10, 10.5, 65","−1,246.50 USD",−0.12%,"1,285.50 USD",0.13%,24,25.00%,0.13,0,,0
"10, 10.5, 75","−1,321.00 USD",−0.13%,"1,360.00 USD",0.14%,24,25.00%,0.124,0,,0
"10, 10.5, 85","−1,212.00 USD",−0.12%,"1,616.50 USD",0.16%,26,23.08%,0.309,0,,0
"10, 10.5, 95","−1,348.00 USD",−0.13%,"1,752.50 USD",0.18%,27,22.22%,0.287,0,,0
"10, 11, 105","−2,794.50 USD",−0.28%,"7,292.00 USD",0.73%,23,17.39%,0.196,0,,0
"10, 11, 115","−3,092.50 USD",−0.31%,"7,318.00 USD",0.73%,23,17.39%,0.177,0,,0
"10, 11, 125","−2,802.50 USD",−0.28%,"6,731.00 USD",0.67%,18,22.22%,0.183,0,,0
"10, 11, 135","−3,049.00 USD",−0.30%,"6,731.00 USD",0.67%,18,22.22%,0.182,0,,0
"10, 11, 145","−5,057.00 USD",−0.51%,"6,873.50 USD",0.69%,20,20.00%,0.349,0,,0
"10, 11, 25","+1,425.00 USD",+0.14%,831.00 USD,0.08%,6,33.33%,1.115,0,,0
"10, 11, 35","−4,399.50 USD",−0.44%,"6,837.50 USD",0.68%,11,18.18%,0.043,0,,0
"10, 11, 45","−3,714.50 USD",−0.37%,"6,837.50 USD",0.68%,13,23.08%,0.045,0,,0
"10, 11, 55","−3,590.50 USD",−0.36%,"6,837.50 USD",0.68%,14,21.43%,0.05,0,,0
"10, 11, 65","−3,657.00 USD",−0.36%,"6,939.00 USD",0.69%,16,18.75%,0.046,0,,0
"10, 11, 75","−3,003.50 USD",−0.30%,"6,979.50 USD",0.70%,19,21.05%,0.215,0,,0
"10, 11, 85","−3,028.50 USD",−0.30%,"6,986.00 USD",0.70%,19,21.05%,0.213,0,,0
"10, 11, 95","−2,792.00 USD",−0.28%,"7,090.00 USD",0.71%,20,20.00%,0.209,0,,0
"10, 11.5, 105",+141.00 USD,+0.02%,"6,751.50 USD",0.67%,26,30.77%,0.533,0,,0
"10, 11.5, 115",+229.00 USD,+0.02%,"6,751.50 USD",0.67%,26,30.77%,0.528,0,,0
"10, 11.5, 125","−1,407.00 USD",−0.14%,"6,731.00 USD",0.67%,20,30.00%,0.315,0,,0
"10, 11.5, 135","−1,781.00 USD",−0.18%,"6,731.00 USD",0.67%,20,30.00%,0.293,0,,0
"10, 11.5, 145","−2,077.00 USD",−0.21%,"6,731.00 USD",0.67%,22,27.27%,0.277,0,,0
"10, 11.5, 25","+2,563.50 USD",+0.26%,"1,683.00 USD",0.17%,11,63.64%,4.838,0,,0
"10, 11.5, 35","+2,877.00 USD",+0.29%,636.50 USD,0.06%,13,53.85%,4.971,0,,0
